model_a,model_b,criterion,n_basins,flip_rate
hbv[kge],lstm[mae],E5_lo,221,0.334841628959276
hbv[kge],lstm[mae],delta_bar,221,0.19909502262443438
hbv[kge],lstm[mse],A_up,221,0.19004524886877827
hbv[kge],lstm[mse],A_lo,221,0.39819004524886875
hbv[kge],lstm[mse],E5_up,221,0.3031674208144796
hbv[kge],lstm[mse],E5_lo,221,0.4117647058823529
hbv[kge],lstm[mse],delta_bar,221,0.2850678733031674
hbv[kge],lstm[nse],A_up,221,0.19457013574660634
hbv[kge],lstm[nse],A_lo,221,0.35294117647058826
hbv[kge],lstm[nse],E5_up,221,0.23529411764705882
hbv[kge],lstm[nse],E5_lo,221,0.416289592760181
hbv[kge],lstm[nse],delta_bar,221,0.24434389140271492
hbv[kge],patchtst[nse],A_up,221,0.28054298642533937
hbv[kge],patchtst[nse],A_lo,221,0.5113122171945701
hbv[kge],patchtst[nse],E5_up,221,0.13574660633484162
hbv[kge],patchtst[nse],E5_lo,221,0.6244343891402715
hbv[kge],patchtst[nse],delta_bar,221,0.4479638009049774
hbv[kge],tcn[nse],A_up,221,0.3031674208144796
hbv[kge],tcn[nse],A_lo,221,0.502262443438914
hbv[kge],tcn[nse],E5_up,221,0.24434389140271492
hbv[kge],tcn[nse],E5_lo,221,0.45701357466063347
hbv[kge],tcn[nse],delta_bar,221,0.40271493212669685
hbv[kge],transformer[delta],A_up,221,0.34841628959276016
hbv[kge],transformer[delta],A_lo,221,0.42081447963800905
hbv[kge],transformer[delta],E5_up,221,0.2895927601809955
hbv[kge],transformer[delta],E5_lo,221,0.45248868778280543
hbv[kge],transformer[delta],delta_bar,221,0.4117647058823529
hbv[kge],transformer[logmse],A_up,221,0.08144796380090498
hbv[kge],transformer[logmse],A_lo,221,0.39819004524886875
hbv[kge],transformer[logmse],E5_up,221,0.058823529411764705
hbv[kge],transformer[logmse],E5_lo,221,0.502262443438914
hbv[kge],transformer[logmse],delta_bar,221,0.2398190045248869
hbv[kge],transformer[mae],A_up,221,0.18099547511312217
hbv[kge],transformer[mae],A_lo,221,0.21266968325791855
hbv[kge],transformer[mae],E5_up,221,0.2895927601809955
hbv[kge],transformer[mae],E5_lo,221,0.28054298642533937
hbv[kge],transformer[mae],delta_bar,221,0.21266968325791855
hbv[kge],transformer[mse],A_up,221,0.23529411764705882
hbv[kge],transformer[mse],A_lo,221,0.3257918552036199
hbv[kge],transformer[mse],E5_up,221,0.3076923076923077
