basin,run,branch,L,L_mode,alpha,pointwise_width,simultaneous_width,maxt_c
G9030250,aus_lstm_nse_s0,lo,15,fixed,0.05,0.19996091558686446,0.28400843005647936,2.8102551735891828
G9030250,aus_lstm_nse_s0,lo,15,fixed,0.2,0.07306039383595675,0.10895413365872364,2.8102551735891828
G9030250,aus_lstm_nse_s0,lo,15,fixed,1.0,0.1065023990105689,0.15806420854558723,2.8102551735891828
G9030250,aus_lstm_nse_s0,up,30,fixed,0.01,0.4220867990484658,0.6141393831710039,2.7632877187266214
G9030250,aus_lstm_nse_s0,up,30,fixed,0.05,0.3646157293612339,0.5437350765651581,2.7632877187266214
G9030250,aus_lstm_nse_s0,up,30,fixed,0.2,0.12495086136336511,0.17704490529642858,2.7632877187266214
G9030250,aus_lstm_nse_s0,up,30,fixed,1.0,0.14174345000004895,0.20181808803684004,2.7632877187266214
G9030250,aus_lstm_nse_s0,lo,30,fixed,0.01,0.4261120953360463,0.6104179710756991,2.7068560279003484
G9030250,aus_lstm_nse_s0,lo,30,fixed,0.05,0.21439511358402596,0.2990303556736915,2.7068560279003484
G9030250,aus_lstm_nse_s0,lo,30,fixed,0.2,0.09188345662590958,0.12304213970325706,2.7068560279003484
